ANNEE	SITE1	SITE2	SITE3	SITE4	SITE5	SITE6	SITE7	SITE8	SITE9
2016	Anterne	Chaillol	Chamrousse	Loriaz	Ristolas				
2017	Lautaret	Valloire	Bauges	Caramagne	Vanoise	Argentiere	Lauvitel		
2018	Bonette	Clarée	Devoluy Nord	Devoluy Sud	Plan de l'Aiguille	Ventoux Sud			
2019	Mounier	Rachais Chamechaude	Ventoux Nord	Cervières 					
2020	Anterne	Chamrousse	Bonette	AvenirA (Moucherotte)	AvenirB (Seez)	AvenirC (pyr 1)	AvenirD (pyr 2)	Caramagne	Chaillol
2021	Chaillol	Ristolas	Caramagne	Bonette	Bauges	Ventoux Sud			
2022	Lauvitel	AvenirB (Seez)	Mounier	Loriaz	Bonette	Devoluy Nord			
2023	Lautaret	Valloire	Mounier	Plan de l'Aiguille	Argentiere	Vanoise			
2024	AvenirA (Moucherotte)	Anterne	Devoluy Sud	Chaillol	Clarée	Plan de l'Aiguille			
2025	Caramagne	Ventoux Nord	Cervières 	Rachais Chamechaude	Valloire	Argentiere			
2026	Clarée	Chamrousse	AvenirC (pyr 1)	AvenirB (Seez)	AvenirD (pyr 2)	Ventoux Sud			
2027	Ristolas	Bauges	Loriaz	Ventoux Nord	AvenirD (pyr 2)	AvenirC (pyr 1)			
2028	Lauvitel	Chaillol	Bonette	Devoluy Nord	Lautaret	AvenirC (pyr 1)			
2029	Mounier	AvenirD (pyr 2)	Chamrousse	Loriaz	Devoluy Nord	Vanoise			
2030	Devoluy Sud	Ventoux Nord	Argentiere	Anterne	Plan de l'Aiguille	AvenirA (Moucherotte)			
2031	Valloire	Rachais Chamechaude	Cervières 	Caramagne	Chamrousse	Clarée			
2032	Bauges	Ventoux Sud	Valloire	Lautaret	AvenirB (Seez)	AvenirA (Moucherotte)			
2033	Clarée	Devoluy Sud	Loriaz	Rachais Chamechaude	AvenirC (pyr 1)	Ristolas			
2034	Chaillol	Bonette	Lautaret	AvenirB (Seez)	Lauvitel	Devoluy Sud			
2035	Lautaret	Vanoise	Devoluy Nord	AvenirD (pyr 2)	Ventoux Nord	Mounier			
2036	Lauvitel	Anterne	AvenirA (Moucherotte)	Plan de l'Aiguille	Argentiere	Devoluy Nord			
2037	AvenirC (pyr 1)	Anterne	Chamrousse	Ristolas	Cervières 	Caramagne			
2038	Cervières 	Ventoux Sud	Plan de l'Aiguille	Loriaz	Valloire	Bauges			
2039	Ventoux Sud	AvenirD (pyr 2)	Bauges	Vanoise	Clarée	Rachais Chamechaude			
2040	Devoluy Sud	AvenirC (pyr 1)	Chaillol	Lautaret	AvenirB (Seez)	Bonette			
2041	Clarée	Mounier	Ventoux Nord	Rachais Chamechaude	Lauvitel	Caramagne			
2042	Mounier	Argentiere	Devoluy Nord	AvenirA (Moucherotte)	Valloire	AvenirD (pyr 2)			
2043	Caramagne	Chamrousse	Ristolas	Plan de l'Aiguille	Vanoise	Anterne			
2044	Chaillol	Cervières 	Ristolas	Bonette	Ventoux Sud	Loriaz			
2045	Bauges	Lauvitel	AvenirD (pyr 2)	Cervières 	Chaillol	Anterne			
2046	AvenirC (pyr 1)	AvenirB (Seez)	Lautaret	Devoluy Sud	Bonette	Rachais Chamechaude			
2047	Argentiere	Clarée	Valloire	Ventoux Nord	Caramagne	Bauges			
2048	Devoluy Nord	AvenirA (Moucherotte)	Lauvitel	Mounier	Anterne	Cervières 			
2049	Chamrousse	Vanoise	Plan de l'Aiguille	Ventoux Nord	Mounier	Argentiere			
2050	Mounier	Ventoux Sud	Lautaret	Devoluy Sud	Loriaz	Ristolas			
