ANNEE	SITE1	SITE2	SITE3	SITE4	SITE5	SITE6	SITE7	SITE8	SITE9
2016	Anterne	Chaillol	Chamrousse	Loriaz	Ristolas				
2017	Lautaret	Valloire	Bauges	Caramagne	Vanoise	Argentiere	Lauvitel		
2018	Bonette	Clarée	Devoluy Nord	Devoluy Sud	Plan de l'Aiguille	Ventoux Sud			
2019	Mounier	Rachais Chamechaude	Ventoux Nord	Cervières 					
2020	Anterne	Chamrousse	Bonette	AvenirA (Moucherotte)	AvenirB (Seez)	AvenirC (pyr 1)	AvenirD (pyr 2)	Chaillol	Ristolas
2021	Chaillol	Ristolas	Caramagne	Loriaz	Bonette				
2022	Lauvitel	AvenirD (pyr 2)	Valloire	Ventoux Nord	Vanoise				
2023	Bauges	Clarée	Argentiere	Loriaz	Lautaret				
2024	Devoluy Sud	Devoluy Nord	Ventoux Sud	Plan de l'Aiguille	Mounier				
2025	Valloire	Cervières 	Lautaret	Rachais Chamechaude	Plan de l'Aiguille				
2026	AvenirC (pyr 1)	AvenirA (Moucherotte)	Anterne	AvenirB (Seez)	Chamrousse				
2027	Caramagne	Ristolas	Chaillol	AvenirB (Seez)	Bonette				
2028	Vanoise	AvenirD (pyr 2)	Lauvitel	Ventoux Nord	Lautaret				
2029	Loriaz	Clarée	Argentiere	AvenirC (pyr 1)	Bauges				
2030	Ventoux Sud	Devoluy Nord	Mounier	AvenirD (pyr 2)	Devoluy Sud				
2031	Valloire	Cervières 	Rachais Chamechaude	Chamrousse	Plan de l'Aiguille				
2032	Anterne	Chamrousse	Ventoux Sud	AvenirA (Moucherotte)	AvenirC (pyr 1)				
2033	Bonette	Caramagne	AvenirB (Seez)	Ristolas	Chaillol				
2034	Vanoise	Lautaret	Ventoux Nord	Lauvitel	Argentiere				
2035	Loriaz	Bauges	AvenirB (Seez)	Valloire	Clarée				
2036	Mounier	Ventoux Sud	Devoluy Nord	AvenirD (pyr 2)	Devoluy Sud				
2037	Cervières 	Plan de l'Aiguille	Rachais Chamechaude	Mounier	Ristolas				
2038	Chaillol	Anterne	AvenirA (Moucherotte)	AvenirC (pyr 1)	Chamrousse				
2039	Ventoux Sud	Anterne	Lautaret	Caramagne	Bonette				
2040	Ventoux Nord	Argentiere	Lauvitel	Vanoise	Caramagne				
2041	AvenirB (Seez)	Loriaz	Valloire	Clarée	Bauges				
2042	Devoluy Nord	AvenirD (pyr 2)	Chaillol	Devoluy Sud	AvenirA (Moucherotte)				
2043	Mounier	Cervières 	Rachais Chamechaude	Ristolas	Plan de l'Aiguille				
2044	Vanoise	AvenirC (pyr 1)	Chamrousse	Plan de l'Aiguille	AvenirA (Moucherotte)				
2045	Ventoux Sud	Anterne	Lautaret	Devoluy Sud	Bonette				
2046	Argentiere	Caramagne	Lauvitel	Bauges	Ventoux Nord				
2047	Argentiere	Loriaz	Valloire	Clarée	AvenirB (Seez)				
2048	AvenirD (pyr 2)	Devoluy Nord	Chaillol	Cervières 	Valloire				
2049	Devoluy Nord	Rachais Chamechaude	Mounier	Ristolas	Anterne				
