ANNEE	SITE1	SITE2	SITE3	SITE4	SITE5	SITE6
2020	Bonette	Caramagne	Chaillol	Devoluy Nord	Vanoise	Ventoux Sud
2021	Caramagne	Claree	Devoluy Sud	Lautaret	Peclod	Ventoux Sud
2022	Armenaz	Chamrousse	Lautaret	Lauvitel	Ristolas	Valloire
2023	Anterne	Argentiere	Armenaz	Chaillol	Lauvitel	Plan Aiguille
2024	Argentiere	Bonette	Chaillol	Claree	Devoluy Nord	Ventoux Sud
2025	Claree	Loriaz	Peclod	Plan Aiguille	Valloire	Vanoise
2026	Argentiere	Claree	Loriaz	Plan Aiguille	Ristolas	Ventoux Sud
2027	Anterne	Caramagne	Devoluy Sud	Lauvitel	Plan Aiguille	Ristolas
2028	Chaillol	Chamrousse	Devoluy Sud	Lautaret	Lauvitel	Valloire
2029	Anterne	Armenaz	Chaillol	Devoluy Sud	Lautaret	Peclod
2030	Armenaz	Bonette	Chaillol	Devoluy Nord	Valloire	Vanoise
2031	Anterne	Bonette	Chamrousse	Devoluy Nord	Vanoise	Ventoux Sud
2032	Argentiere	Chaillol	Claree	Lautaret	Loriaz	Vanoise
2033	Caramagne	Chamrousse	Claree	Lautaret	Plan Aiguille	Ristolas
2034	Argentiere	Bonette	Devoluy Nord	Devoluy Sud	Lauvitel	Valloire
2035	Anterne	Bonette	Chamrousse	Lauvitel	Peclod	Ristolas
2036	Armenaz	Caramagne	Lautaret	Plan Aiguille	Vanoise	Ventoux Sud
2037	Anterne	Bonette	Chamrousse	Claree	Peclod	Ventoux Sud
2038	Anterne	Caramagne	Chaillol	Claree	Loriaz	Vanoise
2039	Argentiere	Armenaz	Loriaz	Plan Aiguille	Valloire	Ventoux Sud
2040	Bonette	Devoluy Nord	Devoluy Sud	Lauvitel	Valloire	Vanoise
2041	Chaillol	Devoluy Nord	Devoluy Sud	Lautaret	Plan Aiguille	Ristolas
2042	Anterne	Bonette	Chamrousse	Loriaz	Ristolas	Ventoux Sud
2043	Argentiere	Claree	Devoluy Nord	Lauvitel	Peclod	Valloire
2044	Caramagne	Chamrousse	Claree	Devoluy Sud	Lauvitel	Plan Aiguille
2045	Argentiere	Armenaz	Bonette	Plan Aiguille	Valloire	Vanoise
2046	Chaillol	Chamrousse	Lautaret	Loriaz	Ristolas	Ventoux Sud
2047	Bonette	Caramagne	Lautaret	Peclod	Vanoise	Ventoux Sud
2048	Anterne	Argentiere	Lauvitel	Peclod	Ristolas	Valloire
2049	Chaillol	Chamrousse	Devoluy Nord	Devoluy Sud	Plan Aiguille	Ventoux Sud
2050	Armenaz	Caramagne	Claree	Lauvitel	Peclod	Valloire
